amfi_code,alpha,beta
100016,-0.08969879640543661,0.788440733484119
100025,0.03319866074294831,0.060713048838286085
100033,0.11442300096849987,0.9915895273399898
101206,0.09744276980996126,0.7370150749441954
101207,-0.3507412243169108,2.8781840749411995
101208,0.06103184313333541,-0.0010198340079364237
102885,0.07188210134066055,0.6162922657571308
102886,-0.11567844822497168,0.9014414037954369
102887,0.024546563427794384,0.8682864578367641
118632,0.057106039669331844,1.0119847058962184
118633,0.04422646866006811,0.6985352285767985
118634,-0.17834516605752657,2.24201624466782
118635,0.05179487547677493,0.6258420867428843
118636,0.034952421258229595,0.09956905729843596
119092,-0.11501872716299397,1.1590213318629514
119093,-0.07811528136608585,1.013926211998286
119094,0.01686723096272117,1.5208964816027535
119095,-0.30562434612444744,2.2108490756850467
119120,0.04251454061462544,0.0848738802796479
119551,0.14151304739808196,0.5629308778564811
119552,0.06197305331497184,0.854633190629023
119598,-0.08812721951686406,2.457368834340667
119599,-0.27362422338435144,2.0396541449883587
120503,0.02872893588603785,0.9247921208111864
120504,0.11599437019255479,0.6065291576079513
120505,0.10264725537819636,1.1948147642957911
120506,0.018469334050126286,0.9140588874598818
120507,0.06836000378313713,-0.005732200015387921
120841,0.020996230009682357,0.695183682435557
120842,-0.09246402314999566,1.0757046552738518
120843,0.10264488235821495,1.0687458558332716
120844,0.06624144385499518,-0.010671268007490775
125497,0.03371692785650568,0.9123261794104106
125498,-0.09849952597540396,1.375060896738379
148567,0.18196793619353316,0.5571340440928768
148568,0.07904245498406473,0.8104117143433321
148569,0.09647297419056049,1.1745863251691928
149322,-0.019263725813704557,0.9487248528073088
149323,0.08772338760612483,1.120482392152478
149324,-0.051278045623042695,2.2148038342368372
